trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
icd10,Z86,both_sexes,Z86 Personal history of certain other diseases,BIN,64593,355938.0,420531,109343.20292202002,icd10-Z86-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z86-both_sexes.tsv.bgz,0.0221
icd10,Z87,both_sexes,Z87 Personal history of other diseases and conditions,BIN,32461,388070.0,420531,59910.638074244234,icd10-Z87-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z87-both_sexes.tsv.bgz,0.0077
icd10,Z88,both_sexes,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances",BIN,32513,388018.0,420531,59998.56958940007,icd10-Z88-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z88-both_sexes.tsv.bgz,0.0153
icd10,Z90,both_sexes,"Z90 Acquired absence of organs, not elsewhere classified",BIN,20049,400482.0,420531,38186.31025061173,icd10-Z90-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z90-both_sexes.tsv.bgz,0.0099
icd10,Z91,both_sexes,"Z91 Personal history of risk-factors, not elsewhere classified",BIN,7445,413086.0,420531,14626.390301785124,icd10-Z91-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z91-both_sexes.tsv.bgz,-0.0002
icd10,Z92,both_sexes,Z92 Personal history of medical treatment,BIN,39866,380665.0,420531,72173.47063593409,icd10-Z92-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z92-both_sexes.tsv.bgz,0.016
icd10,Z93,both_sexes,Z93 Artificial opening status,BIN,3777,416754.0,420531,7486.153734207466,icd10-Z93-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z93-both_sexes.tsv.bgz,-0.0007
icd10,Z94,both_sexes,Z94 Transplanted organ and tissue status,BIN,1278,419253.0,420531,2548.2322777631134,icd10-Z94-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z94-both_sexes.tsv.bgz,0.002
icd10,Z95,both_sexes,Z95 Presence of cardiac and vascular implants and grafts,BIN,15774,404757.0,420531,30364.643358040186,icd10-Z95-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z95-both_sexes.tsv.bgz,0.0144
icd10,Z96,both_sexes,Z96 Presence of other functional implants,BIN,24348,396183.0,420531,45876.58785678107,icd10-Z96-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z96-both_sexes.tsv.bgz,0.0154
icd10,Z97,both_sexes,Z97 Presence of other devices,BIN,1458,419073.0,420531,2905.890096092797,icd10-Z97-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z97-both_sexes.tsv.bgz,0.0018
icd10,Z98,both_sexes,Z98 Other postsurgical states,BIN,4554,415977.0,420531,9009.36795622677,icd10-Z98-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z98-both_sexes.tsv.bgz,0.0027
icd10,Z99,both_sexes,"Z99 Dependence on enabling machines and devices, not elsewhere classified",BIN,2322,418209.0,420531,4618.357733437012,icd10-Z99-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Z99-both_sexes.tsv.bgz,0.0033
phecode,8,both_sexes,Intestinal infection,BIN,13044,407487.0,420531,25278.804311691645,phecode-008-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008-both_sexes.tsv.bgz,0.0034
phecode,8.5,both_sexes,Bacterial enteritis,BIN,3275,407487.0,410762,6497.776936522852,phecode-008.5-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.5-both_sexes.tsv.bgz,0.0034
phecode,8.6,both_sexes,Viral Enteritis,BIN,1114,407487.0,408601,2221.925634053759,phecode-008.6-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.6-both_sexes.tsv.bgz,0.0003
phecode,38,both_sexes,Septicemia,BIN,5845,401597.0,407442,11522.299934714634,phecode-038-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038-both_sexes.tsv.bgz,0.0023
phecode,38.1,both_sexes,Gram negative septicemia,BIN,1263,401597.0,402860,2518.080777441295,phecode-038.1-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038.1-both_sexes.tsv.bgz,-0.0005
phecode,41,both_sexes,Bacterial infection NOS,BIN,14857,401597.0,416454,28653.952796707443,phecode-041-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041-both_sexes.tsv.bgz,0.0061
